"date","weighted","close","high","low","open","volume"
"2019-12-31 01:12:00","6435.205707","6404.43","6508.48","6354.59","6460.07","44079550.29"
"2020-01-01 01:01:00","6433.530997","6408.16","6467.66","6391.67","6404.43","25401188.76"
"2020-01-02 01:01:00","6325.012763","6223.81","6412.11","6210.93","6408.16","46191504.96"
"2020-01-03 01:01:00","6515.553801","6571.56","6629.82","6149.33","6223.81","91424817.51"
"2020-01-04 01:01:00","6569.67953","6590.59","6622.95","6525.39","6571.56","32731720.14"
"2020-01-05 01:01:00","6656.126537","6589.35","6709.94","6558.06","6590.59","42735527.31"
"2020-01-06 01:01:00","6773.194819","6938.97","6964.72","6582.47","6589.35","93205933.9"
"2020-01-07 01:01:00","7129.855167","7316.62","7366.77","6936.34","6938.97","160724760.1"
"2020-01-08 01:01:00","7390.047034","7244.82","7619.18","7081.47","7316.62","201276207.83"
"2020-01-09 01:01:00","7105.810344","7040.47","7247.3","6982.65","7244.82","92402749.73"
"2020-01-10 01:01:00","7144.662761","7362.52","7362.55","6930.75","7040.47","114315961.66"
"2020-01-11 01:01:00","7306.545761","7215.3","7435.52","7201.78","7362.52","59740729.3"
"2020-01-12 01:01:00","7297.351741","7349.49","7350.54","7165.59","7215.3","35896257"
"2020-01-13 01:01:00","7284.574987","7288.41","7362.37","7237.46","7349.49","61839194.14"
"2020-01-14 01:01:00","7731.121568","7935.75","7970.85","7288.41","7288.41","143964307.17"
"2020-01-15 01:01:00","7860.249555","7910.79","7984.68","7697.56","7935.75","102503627.99"
"2020-01-16 01:01:00","7789.242737","7828.45","7936.48","7712.53","7910.79","69952229.11"
"2020-01-17 01:01:00","7995.661298","8022.28","8100.61","7788.22","7828.45","92161830.04"
"2020-01-18 01:01:00","8022.958491","8033.82","8086.97","7951.87","8022.28","31854835.77"
"2020-01-19 01:01:00","7939.78862","7850.42","8270.1","7669.72","8033.82","88397160.21"
"2020-01-20 01:01:00","7797.720647","7789.99","7875.63","7685.57","7850.42","65486115.74"
"2020-01-21 01:01:00","7794.550606","7873.51","7907.23","7657.91","7789.99","59064999.96"
"2020-01-22 01:01:00","7820.478739","7810.94","7934.03","7743.5","7873.51","41985413.18"
"2020-01-23 01:01:00","7593.254511","7599.85","7819.08","7486.09","7810.94","66493446.36"
"2020-01-24 01:01:00","7608.725495","7644.87","7721.23","7461.92","7599.85","59431602.67"
"2020-01-25 01:01:00","7567.30115","7567.96","7654.11","7500.91","7644.87","24651845.61"
"2020-01-26 01:01:00","7692.454464","7797.4","7798.68","7532.09","7567.96","33808029.67"
"2020-01-27 01:01:00","7950.665438","8071.02","8141.73","7766.65","7797.4","79023015.4"
"2020-01-28 01:01:00","8210.799336","8504.29","8525.61","7889.06","8071.02","117077212.98"
"2020-01-29 01:01:00","8480.412411","8433.14","8563.8","8391.2","8504.29","79926784.52"
"2020-01-30 01:01:00","8525.138663","8613.43","8669.84","8347.96","8433.14","83469376.9"
"2020-01-31 01:01:00","8440.695353","8416.44","8628.21","8329.03","8613.43","76638981.6"
"2020-02-01 01:02:00","8451.928866","8458.94","8521.38","8383.72","8416.44","29706755.06"
"2020-02-02 01:02:00","8456.966022","8419.64","8531.81","8269.62","8458.94","40407637.36"
"2020-02-03 01:02:00","8443.476878","8406.78","8647.68","8353.31","8419.64","59775510.12"
"2020-02-04 01:02:00","8317.431432","8308.82","8451.25","8227.28","8406.78","62287996.38"
"2020-02-05 01:02:00","8628.21152","8735.76","8861.13","8300.02","8308.82","106320273.64"
"2020-02-06 01:02:00","8847.853365","8887.72","8961.36","8668.71","8735.76","82424036.07"
"2020-02-07 01:02:00","8935.070379","8969.12","9018.57","8866.02","8887.72","68334524.75"
"2020-02-08 01:02:00","8986.025105","9060","9080.03","8835.17","8969.12","50003365.72"
"2020-02-09 01:02:00","9217.867623","9283.7","9288.83","9037.54","9060","69734274.71"
"2020-02-10 01:02:00","9047.430421","9049.94","9307.46","8921.86","9283.7","97869492.89"
"2020-02-11 01:02:00","9224.210897","9429.1","9492.76","8910.55","9049.94","109721250.68"
"2020-02-12 01:02:00","9468.505649","9489.01","9579.97","9369.7","9429.1","97454026.28"
"2020-02-13 01:02:00","9447.945447","9417.8","9678.61","9258.67","9489.01","123604069.02"
"2020-02-14 01:02:00","9433.15334","9514.2","9545.6","9308.9","9417.8","75120727.96"
"2020-02-15 01:02:00","9248.118196","9115.3","9548.79","9037.68","9514.2","69030728.65"
"2020-02-16 01:02:00","9041.531106","9110.62","9246.63","8861.88","9115.3","60318585.64"
"2020-02-17 01:02:00","8914.485964","8935.85","9149.04","8726.08","9110.62","103262285.34"
"2020-02-18 01:02:00","9125.135553","9404.4","9480.48","8885.59","8935.85","110322067.57"
"2020-02-19 01:02:00","9201.916674","8868.34","9495.74","8660.8","9404.4","99967874.38"
"2020-02-20 01:02:00","8861.853508","8848.28","8970.75","8740.57","8868.34","68809722.55"
